"Index","SET","StTimes","KLSE"
"1998-01-02",4.2647113740732,-3.68907061570543,1.9419457131777
"1998-01-09",-6.375712232248,-24.2061046926848,-15.1403681172766
"1998-01-16",9.10712459291538,6.14155670371588,9.38482047676175
"1998-01-23",9.90037047055941,1.43323478947215,3.38663639165731
"1998-01-30",15.7957497912633,0.567434341547735,1.93963956195153
"1998-02-06",7.90745458232074,15.547272295708,24.5785661160382
"1998-02-13",-6.9548750319683,-3.66787023410113,-6.04135041535994
"1998-02-20",4.27937677202817,1.42398930000018,6.02349633805925
"1998-02-27",1.25495577030215,3.53009590726154,2.34838607592085
"1998-03-06",-3.92721886842473,-5.27586343020348,-7.66541224789679
"1998-03-13",1.2070849187972,2.56886248743724,2.5456856199483
"1998-03-20",-2.85821091686378,4.41726483979927,3.20716663761997
"1998-03-27",-6.16944785514359,-0.694778889829095,-0.496278934212935
"1998-04-03",-5.89340223143617,-7.66827258346048,-8.77688022301015
"1998-04-10",0.713091685399014,1.97776098882327,0.994320011827465
"1998-04-17",-1.61337555962575,-4.6477658486026,-6.81718977915491
"1998-04-24",-3.28817046114391,-2.35790317931741,1.00167782434717
"1998-05-01",-3.02560956012741,0.922964766572587,-1.44957656077951
"1998-05-08",-6.44139727264941,-4.69625220009435,-7.61881399076403
"1998-05-15",-4.49635835882001,-4.75872716677834,-2.30195882578084
"1998-05-22",-3.75362922384079,0.00243523295049286,1.81460821374273
"1998-05-29",-8.87860638805966,-5.37002042801227,-6.99362432565058
"1998-06-05",-2.30845202265977,-5.78458785235787,-6.36471230693356
"1998-06-12",-13.0017332783479,-6.40171336544233,-6.68948574723558
"1998-06-19",1.75632962903851,18.4830733995929,-1.01279616337679
"1998-06-26",-7.04460129663635,-19.6988672185771,-4.80558473316437
"1998-07-03",3.2524399343143,3.05069009452348,6.1164311092555
"1998-07-10",0.189781078858786,-2.7641499417931,-10.0172333423451
"1998-07-17",7.38474971500347,2.62060765535761,3.81999233396941
"1998-07-24",-6.95542396914748,-2.04415299811771,-6.23327560955103
"1998-07-31",-3.2170400027784,-1.4641635916826,-3.83702145091593
"1998-08-07",-7.46272338906078,-2.48894377446209,-10.0776477400834
"1998-08-14",-1.59625508400634,-7.03675394078349,-10.4338589925421
"1998-08-21",-1.9480866407708,-1.59819880416521,-1.20239470824446
"1998-08-28",-8.77422042272009,-2.54841294660251,-6.74929521485153
"1998-09-04",-5.41713060918827,-9.49894215471323,18.2178489766809
"1998-09-11",2.56674646611703,5.80903003220907,1.39078979907241
"1998-09-18",4.2118755618727,6.74687986260691,6.50505599958917
"1998-09-25",11.5170254618898,1.21744232335947,-1.54505552510367
"1998-10-02",1.0509797231486,-2.62418356553615,-6.45540143244423
"1998-10-09",15.0783136996608,8.17446961995101,2.49169674535326
"1998-10-16",8.74158535825007,13.6598409290317,6.25854841502953
"1998-10-23",0.733472911712596,-0.538244798651988,5.75172608235972
"1998-10-30",2.97788753556114,7.85751338387639,-3.48862721497332
"1998-11-06",12.8189491495903,6.36291073975626,11.183054711787
"1998-11-13",-12.1270922206935,-6.17298976109657,2.567733654256
"1998-11-20",10.8792970507438,11.0484451464085,-0.759737747394063
"1998-11-27",0.311401287853741,3.41745316993931,7.61486503668314
"1998-12-04",-9.98690560690925,-2.73501816393846,5.69330788204834
"1998-12-11",6.49863964210473,3.91178323927006,1.24773090921693
"1998-12-18",-5.23602261832101,-0.376966473315132,3.04923604527874
"1998-12-25",4.08032765163426,-0.944013356285733,0.346413339627016
"1998-12-31",-0.0983187573055488,-0.00143601820870032,5.94140195218973
"1999-01-08",11.5641650315778,10.3874558681214,0.945814170574266
"1999-01-15",-4.50892374633893,-2.98019749993159,1.22117637061283
"1999-01-22",-1.40843683874614,-1.41412971081385,3.21503489475718
"1999-01-29",-3.64620907142017,-3.48242379829102,-4.48185291162817
"1999-02-05",-7.14752889802064,-4.87558543962896,-5.675170583726
"1999-02-12",2.76356605797519,-0.392629683442625,2.12297387952116
"1999-02-19",-3.17570546394128,1.42610398870007,-0.968249237550989
"1999-02-26",1.29003574977959,2.69916106790049,-4.16486081321175
"1999-03-05",-1.39705439907329,2.63856485156433,-4.79956142604099
"1999-03-12",2.80956896490263,2.4583918456063,2.28967262073843
"1999-03-19",6.14085374725697,-0.861861604335612,-2.85432247697823
"1999-03-26",-0.212360548088864,1.6502702416278,-2.7120105614471
"1999-04-02",-2.71007317723511,3.13498291274259,7.67707135536435
"1999-04-09",4.07435820369475,7.4834387262567,5.05986987763256
"1999-04-16",7.90350341655017,6.09530804267164,5.36483785303323
"1999-04-23",-0.365849513971117,5.24768280508709,7.62768011581638
"1999-04-30",13.5676471054335,1.11477455738234,4.24307906057937
"1999-05-07",6.121991517601,0.700544913371903,2.44699910619506
"1999-05-14",-2.79281063384094,-0.854943307739919,10.3128672332476
"1999-05-21",0.928503993070517,3.65053124235981,0.386565712635889
"1999-05-28",-5.51735430722395,-2.57313949113849,-2.7338714258514
"1999-06-04",4.91890096221086,1.28862314725211,-1.23991567212887
"1999-06-11",6.22245777487951,6.95054356270139,4.35886423259992
"1999-06-18",2.29083877226559,0.167238668202074,1.77894763714139
"1999-06-25",4.71357460327582,5.08479201136431,2.46110635049863
"1999-07-02",-1.95331039996285,1.99093620524025,4.77010245204177
"1999-07-09",-4.55535125202582,-1.85378871351753,0.712904173518947
"1999-07-16",-4.22269149175918,-2.19710634804589,-1.00898312306787
"1999-07-23",-2.65094756957502,-6.98912275692427,-4.21265345335371
"1999-07-30",-4.05829168858807,7.52884495429464,-5.0294994797869
