,usdthb,ukpthb,jpythb,eurthb
02/07/1997,27.61,45.97,24.24,
03/07/1997,27.90,46.60,24.34,
04/07/1997,28.43,47.96,24.99,
07/07/1997,28.77,48.54,25.50,
08/07/1997,28.99,48.88,25.62,
09/07/1997,29.03,48.95,25.76,
10/07/1997,29.01,48.93,25.75,
11/07/1997,29.71,50.14,26.17,
14/07/1997,30.13,50.86,26.49,
15/07/1997,29.88,50.43,26.20,
16/07/1997,29.94,50.16,25.92,
17/07/1997,30.04,50.35,25.87,
18/07/1997,30.26,50.56,26.06,
22/07/1997,30.71,51.45,26.42,
23/07/1997,31.73,53.31,27.49,
24/07/1997,32.17,53.88,27.80,
25/07/1997,32.00,53.47,27.52,
28/07/1997,32.04,53.13,27.34,
29/07/1997,31.33,51.15,26.68,
30/07/1997,31.58,51.48,26.69,
31/07/1997,32.00,52.35,27.10,
01/08/1997,31.90,52.31,26.90,
04/08/1997,31.66,51.57,26.69,
05/08/1997,31.42,51.26,26.52,
06/08/1997,31.57,51.25,26.47,
07/08/1997,31.64,50.73,26.69,
08/08/1997,31.21,49.60,26.34,
11/08/1997,31.32,49.67,27.14,
13/08/1997,31.49,49.76,27.02,
14/08/1997,31.50,49.89,27.18,
15/08/1997,31.53,50.13,26.74,
18/08/1997,31.86,51.27,27.16,
19/08/1997,32.41,52.01,27.43,
20/08/1997,32.52,52.10,27.48,
21/08/1997,32.58,51.83,27.67,
22/08/1997,33.30,52.91,28.42,
25/08/1997,34.02,54.65,28.80,
26/08/1997,34.03,54.69,28.73,
27/08/1997,33.92,54.57,28.64,
28/08/1997,34.13,55.06,28.83,
29/08/1997,34.25,55.35,28.70,
01/09/1997,34.28,55.24,28.42,
02/09/1997,34.69,55.74,28.66,
03/09/1997,36.21,57.64,29.84,
04/09/1997,37.95,60.07,31.43,
05/09/1997,37.50,59.40,30.98,
08/09/1997,36.03,57.24,29.74,
09/09/1997,35.60,56.33,29.75,
10/09/1997,35.45,56.29,29.68,
11/09/1997,35.55,56.46,29.88,
12/09/1997,35.78,57.23,29.79,
15/09/1997,36.53,58.62,30.29,
16/09/1997,36.55,58.51,30.31,
17/09/1997,36.92,58.90,30.57,
18/09/1997,36.80,58.88,30.42,
19/09/1997,36.80,59.16,30.15,
22/09/1997,37.20,59.84,30.38,
23/09/1997,36.86,59.13,30.28,
24/09/1997,36.41,58.80,30.23,
25/09/1997,35.77,57.71,29.68,
26/09/1997,35.56,57.57,29.36,
29/09/1997,35.78,57.61,29.52,
30/09/1997,36.40,58.66,30.07,
01/10/1997,36.43,58.92,30.14,
02/10/1997,36.27,58.58,30.00,
03/10/1997,36.31,58.59,29.80,
06/10/1997,36.83,59.48,30.25,
07/10/1997,36.54,59.05,29.98,
08/10/1997,36.46,59.12,29.86,
09/10/1997,36.50,59.20,30.11,
10/10/1997,36.32,59.01,30.04,
13/10/1997,36.46,59.18,30.32,
14/10/1997,36.42,59.10,30.03,
15/10/1997,36.60,59.30,30.18,
16/10/1997,36.58,59.35,30.33,
17/10/1997,36.86,59.58,30.62,
20/10/1997,37.57,61.36,30.84,
21/10/1997,37.89,61.85,31.36,
22/10/1997,38.79,63.32,32.15,
24/10/1997,38.53,62.80,31.60,
27/10/1997,38.51,63.01,31.54,
28/10/1997,38.88,65.02,32.23,
29/10/1997,39.24,65.51,32.57,
30/10/1997,39.65,66.28,32.93,
31/10/1997,40.82,67.76,33.71,
03/11/1997,40.87,68.47,33.99,
04/11/1997,39.08,65.54,32.16,
05/11/1997,39.33,66.07,32.22,
06/11/1997,39.25,65.81,31.91,
07/11/1997,38.24,64.45,30.90,
10/11/1997,36.93,62.20,29.79,
11/11/1997,37.42,63.67,30.04,
12/11/1997,38.49,65.52,30.78,
13/11/1997,38.67,65.80,30.72,
14/11/1997,38.76,65.79,30.81,
17/11/1997,38.85,65.56,31.06,
18/11/1997,39.48,66.93,31.40,
19/11/1997,40.20,67.88,31.78,
20/11/1997,39.90,67.40,31.52,
21/11/1997,39.80,67.22,31.58,
24/11/1997,39.63,66.94,31.11,
25/11/1997,39.56,66.83,31.07,
26/11/1997,40.07,67.18,31.45,
27/11/1997,39.86,66.58,31.35,
28/11/1997,40.01,66.96,31.37,
01/12/1997,40.59,68.32,31.53,
02/12/1997,41.21,69.50,32.02,
03/12/1997,42.56,71.60,33.08,
04/12/1997,41.80,70.37,32.42,
08/12/1997,41.58,68.87,32.02,
09/12/1997,41.95,69.16,32.18,
11/12/1997,43.07,71.14,33.35,
12/12/1997,44.87,74.36,34.34,
15/12/1997,46.25,76.23,34.91,
16/12/1997,48.36,78.83,36.86,
17/12/1997,47.65,78.10,37.09,
18/12/1997,45.45,74.97,35.47,
19/12/1997,45.83,76.25,35.51,
22/12/1997,46.80,78.08,36.07,
23/12/1997,48.16,80.02,36.94,
24/12/1997,47.05,78.32,36.20,
25/12/1997,47.42,79.23,36.45,
26/12/1997,47.54,79.37,36.49,
29/12/1997,46.84,78.60,36.01,
30/12/1997,47.06,78.27,36.22,
31/12/1997,47.25,78.33,36.32,
05/01/1998,50.21,82.50,37.94,
06/01/1998,52.04,84.65,38.97,
07/01/1998,52.90,85.74,39.55,
08/01/1998,53.04,86.13,40.11,
09/01/1998,53.76,86.88,40.73,
12/01/1998,55.61,89.33,41.88,
13/01/1998,55.88,90.80,42.08,
14/01/1998,53.34,87.00,40.70,
15/01/1998,52.76,85.91,40.33,
16/01/1998,53.34,86.93,41.12,
19/01/1998,52.96,86.67,41.25,
20/01/1998,53.08,86.71,41.00,
21/01/1998,53.36,86.84,41.50,
22/01/1998,54.05,88.34,42.60,
23/01/1998,54.62,90.04,43.08,
26/01/1998,54.66,91.94,43.61,
27/01/1998,54.52,90.34,43.14,
28/01/1998,54.59,89.81,43.48,
29/01/1998,54.77,89.73,43.77,
30/01/1998,55.27,90.45,43.51,
02/02/1998,51.94,84.72,41.03,
03/02/1998,48.70,80.26,38.63,
04/02/1998,47.77,78.23,37.91,
05/02/1998,49.15,81.41,39.71,
06/02/1998,48.53,80.03,39.04,
09/02/1998,47.71,78.27,38.23,
10/02/1998,46.56,75.85,37.61,
12/02/1998,44.67,72.92,36.28,
13/02/1998,46.48,76.11,37.32,
16/02/1998,47.55,77.96,37.77,
17/02/1998,46.38,76.01,36.74,
18/02/1998,45.52,74.16,35.99,
19/02/1998,44.37,72.71,35.20,
20/02/1998,44.77,73.23,35.18,
23/02/1998,45.17,73.86,35.10,
24/02/1998,44.13,72.61,34.30,
25/02/1998,42.90,70.74,33.69,
26/02/1998,42.95,70.56,33.39,
27/02/1998,42.77,70.31,33.71,
02/03/1998,43.43,71.76,34.58,
03/03/1998,43.19,71.15,34.42,
04/03/1998,43.83,72.36,34.91,
05/03/1998,44.42,73.18,34.99,
06/03/1998,45.35,74.13,35.57,
09/03/1998,44.89,73.46,35.01,
10/03/1998,43.98,71.97,34.46,
11/03/1998,43.09,70.70,33.76,
12/03/1998,43.18,71.11,33.46,
13/03/1998,41.75,69.17,32.47,
16/03/1998,40.13,67.00,31.19,
17/03/1998,40.05,66.83,30.99,
18/03/1998,40.68,68.04,31.23,
19/03/1998,40.42,67.46,31.12,
20/03/1998,39.46,65.66,30.33,
23/03/1998,38.96,64.99,29.83,
24/03/1998,38.59,64.73,29.68,
25/03/1998,38.48,64.39,29.59,
26/03/1998,38.46,64.40,29.81,
27/03/1998,38.37,64.66,29.82,
30/03/1998,38.13,64.15,29.18,
31/03/1998,38.75,64.95,29.34,
01/04/1998,38.99,65.18,29.26,
02/04/1998,40.14,67.10,30.06,
03/04/1998,40.95,68.20,30.52,
07/04/1998,39.99,66.52,29.84,
08/04/1998,40.43,67.46,30.32,
09/04/1998,39.84,66.66,30.17,
10/04/1998,39.70,66.35,30.52,
16/04/1998,40.09,67.53,30.61,
17/04/1998,39.63,67.02,30.09,
20/04/1998,39.24,66.01,29.71,
21/04/1998,39.09,65.55,29.67,
22/04/1998,38.98,65.27,29.65,
23/04/1998,39.07,65.24,30.00,
24/04/1998,38.90,64.80,29.98,
27/04/1998,38.88,64.82,29.53,
28/04/1998,38.59,64.58,29.23,
29/04/1998,38.46,64.09,29.07,
30/04/1998,38.67,64.61,29.29,
04/05/1998,38.67,64.40,29.02,
06/05/1998,38.55,63.98,29.21,
07/05/1998,39.18,65.05,29.41,
08/05/1998,38.64,63.68,29.00,
12/05/1998,38.45,62.73,28.90,
13/05/1998,38.85,63.46,28.98,
14/05/1998,38.67,63.02,28.89,
15/05/1998,38.71,63.21,28.90,
18/05/1998,39.04,63.31,28.92,
19/05/1998,39.45,64.04,29.04,
20/05/1998,39.24,63.77,28.77,
21/05/1998,39.04,63.73,28.81,
22/05/1998,39.25,63.91,29.00,
25/05/1998,39.11,63.82,28.61,
26/05/1998,39.21,63.87,28.54,
27/05/1998,39.19,64.04,28.49,
28/05/1998,39.64,64.65,28.88,
29/05/1998,40.16,65.28,28.93,
01/06/1998,40.85,66.57,29.40,
02/06/1998,42.18,69.08,30.24,
03/06/1998,41.64,68.08,30.04,
04/06/1998,41.64,68.08,30.04,
05/06/1998,42.80,69.96,30.82,
08/06/1998,43.67,71.27,31.10,
09/06/1998,43.08,70.33,30.64,
10/06/1998,43.05,70.46,30.60,
11/06/1998,43.38,70.66,30.62,
12/06/1998,43.33,70.57,30.06,
15/06/1998,43.67,71.25,30.06,
16/06/1998,43.25,70.93,29.89,
17/06/1998,43.25,70.93,29.89,
18/06/1998,41.33,68.85,30.31,
19/06/1998,41.60,69.50,30.48,
22/06/1998,41.55,69.14,30.21,
23/06/1998,41.08,68.80,29.84,
24/06/1998,41.08,68.44,29.38,
25/06/1998,41.08,68.61,29.08,
26/06/1998,41.61,69.53,29.21,
29/06/1998,41.95,69.77,29.56,
30/06/1998,42.32,70.53,30.08,
02/07/1998,41.97,69.61,30.32,
03/07/1998,41.61,69.02,29.70,
06/07/1998,41.26,67.42,29.39,
07/07/1998,41.37,67.83,29.57,
08/07/1998,41.17,67.42,29.73,
10/07/1998,41.84,68.24,29.60,
13/07/1998,41.77,68.22,29.30,
14/07/1998,41.28,67.61,29.23,
15/07/1998,41.28,67.45,29.35,
16/07/1998,41.07,67.19,29.29,
17/07/1998,40.36,66.17,28.96,
20/07/1998,41.03,67.51,29.49,
21/07/1998,40.67,66.92,29.24,
22/07/1998,40.94,67.29,29.12,
23/07/1998,40.95,67.21,29.00,
24/07/1998,40.99,67.70,29.07,
27/07/1998,40.91,67.79,28.83,
28/07/1998,40.95,67.83,28.82,
29/07/1998,40.79,67.20,28.91,
30/07/1998,40.70,66.95,28.62,
31/07/1998,40.77,66.72,28.36,
03/08/1998,40.81,66.66,28.19,
04/08/1998,40.66,66.19,28.11,
05/08/1998,40.71,66.71,28.30,
06/08/1998,41.07,67.16,28.40,
07/08/1998,41.92,68.47,28.94,
10/08/1998,41.80,68.05,28.59,
11/08/1998,42.02,68.60,28.67,
13/08/1998,42.03,68.39,28.72,
14/08/1998,41.76,67.84,28.74,
17/08/1998,41.67,67.35,28.49,
18/08/1998,41.54,67.15,28.54,
19/08/1998,41.49,67.16,28.76,
20/08/1998,41.22,66.94,28.70,
21/08/1998,41.18,67.13,28.81,
24/08/1998,41.60,67.96,28.74,
25/08/1998,41.45,67.90,28.80,
26/08/1998,41.63,68.20,28.82,
27/08/1998,41.85,68.62,29.09,
28/08/1998,41.85,69.18,29.59,
31/08/1998,41.90,70.18,29.61,
01/09/1998,41.11,69.07,29.60,
02/09/1998,40.51,67.85,29.48,
03/09/1998,40.85,68.22,29.75,
04/09/1998,40.76,68.22,30.34,
07/09/1998,40.65,67.91,30.68,
08/09/1998,40.58,67.46,30.80,
09/09/1998,40.63,67.30,30.81,
10/09/1998,40.79,68.21,30.12,
11/09/1998,40.69,68.72,30.46,
14/09/1998,40.77,68.18,30.84,
15/09/1998,40.76,68.45,30.66,
16/09/1998,40.77,68.25,30.35,
17/09/1998,40.66,68.29,30.33,
18/09/1998,40.58,68.27,30.71,
21/09/1998,40.58,68.11,30.47,
22/09/1998,40.59,68.11,30.20,
23/09/1998,40.52,68.06,29.90,
24/09/1998,40.12,67.51,29.38,
25/09/1998,38.88,65.89,28.78,
28/09/1998,39.12,66.49,28.85,
29/09/1998,39.06,66.76,28.85,
30/09/1998,39.22,67.03,29.00,
01/10/1998,39.42,66.87,28.97,
02/10/1998,39.54,67.26,29.22,
05/10/1998,39.39,66.91,29.21,
06/10/1998,38.81,65.32,29.07,
07/10/1998,38.79,65.24,29.82,
08/10/1998,38.48,65.42,31.68,
09/10/1998,38.42,65.82,32.78,
12/10/1998,38.27,64.95,32.90,
13/10/1998,38.17,64.59,32.24,
14/10/1998,38.12,65.02,31.92,
15/10/1998,37.99,64.88,31.98,
16/10/1998,37.79,64.56,32.51,
19/10/1998,37.88,64.48,33.09,
20/10/1998,37.79,64.17,32.84,
21/10/1998,37.81,64.57,32.56,
22/10/1998,37.77,64.02,32.05,
26/10/1998,37.58,63.23,31.69,
27/10/1998,37.48,62.44,31.46,
28/10/1998,37.11,62.14,31.41,
29/10/1998,36.66,61.37,31.14,
30/10/1998,36.70,61.65,31.69,
02/11/1998,36.63,61.33,31.88,
03/11/1998,36.64,60.89,31.71,
04/11/1998,36.56,60.52,31.61,
05/11/1998,36.43,60.40,31.00,
06/11/1998,36.37,60.48,30.82,
09/11/1998,36.59,60.62,30.69,
10/11/1998,37.18,61.77,30.42,
11/11/1998,36.63,60.65,30.02,
12/11/1998,36.76,61.05,30.08,
13/11/1998,36.93,61.37,30.21,
16/11/1998,36.63,61.01,29.93,
17/11/1998,36.36,60.90,29.96,
18/11/1998,36.31,60.85,29.94,
19/11/1998,36.16,60.30,29.64,
20/11/1998,36.11,60.02,30.21,
23/11/1998,36.09,59.76,30.00,
24/11/1998,36.18,59.85,29.83,
25/11/1998,36.08,59.86,29.88,
26/11/1998,36.03,59.77,29.65,
27/11/1998,35.94,59.71,29.35,
30/11/1998,36.03,59.50,29.17,
01/12/1998,36.02,59.41,29.34,
02/12/1998,35.99,59.47,29.55,
03/12/1998,35.90,59.82,29.89,
04/12/1998,35.86,59.79,30.32,
08/12/1998,35.92,59.27,29.87,
09/12/1998,35.83,59.37,30.10,
11/12/1998,35.71,59.63,30.47,
14/12/1998,35.69,60.19,30.59,
15/12/1998,35.89,60.62,30.96,
16/12/1998,36.46,61.39,31.30,
17/12/1998,36.64,61.32,31.57,
18/12/1998,36.60,61.34,31.51,
21/12/1998,36.22,61.00,31.47,
22/12/1998,36.17,60.89,31.16,
23/12/1998,36.20,60.86,31.15,
24/12/1998,36.29,60.86,31.40,
25/12/1998,36.34,60.81,31.33,
28/12/1998,36.52,61.06,31.23,
29/12/1998,36.96,61.96,32.00,
30/12/1998,36.68,61.66,31.73,
04/01/1999,36.23,60.33,31.93,42.85
05/01/1999,36.00,59.67,32.30,42.57
06/01/1999,36.20,59.86,32.30,42.45
07/01/1999,36.50,60.27,32.46,42.51
08/01/1999,36.25,59.86,32.66,42.42
11/01/1999,36.25,59.49,32.88,41.95
12/01/1999,36.28,59.14,32.65,41.63
13/01/1999,36.61,59.82,32.60,42.36
14/01/1999,36.90,60.87,32.51,43.04
15/01/1999,37.14,61.50,32.82,43.40
18/01/1999,36.43,60.15,32.07,42.22
19/01/1999,36.39,60.04,31.79,42.14
20/01/1999,36.51,60.42,32.18,42.34
21/01/1999,36.37,59.88,32.11,42.03
22/01/1999,36.63,60.54,32.18,42.50
25/01/1999,36.97,61.21,32.31,42.82
26/01/1999,36.65,60.81,32.25,42.39
27/01/1999,36.61,60.65,32.20,42.21
28/01/1999,36.81,60.59,31.90,42.14
29/01/1999,36.80,60.61,31.69,42.00
01/02/1999,36.67,60.34,31.73,41.67
02/02/1999,36.65,60.17,31.92,41.49
03/02/1999,36.62,60.04,32.61,41.49
04/02/1999,36.68,60.05,32.39,41.47
05/02/1999,36.65,60.25,32.69,41.60
08/02/1999,36.75,59.99,32.52,41.38
09/02/1999,36.95,60.55,32.25,41.85
10/02/1999,37.03,60.59,32.39,41.88
11/02/1999,36.96,60.11,32.35,41.84
12/02/1999,36.91,59.89,32.28,41.47
15/02/1999,36.73,59.98,32.23,41.44
16/02/1999,36.80,59.83,31.49,41.28
17/02/1999,36.88,60.43,31.21,41.41
18/02/1999,36.94,60.44,31.12,41.57
19/02/1999,37.24,60.87,30.99,41.67
22/02/1999,37.68,61.10,30.89,41.60
23/02/1999,37.55,60.97,31.10,41.41
24/02/1999,37.32,60.20,30.84,41.02
25/02/1999,37.50,60.00,30.98,41.31
26/02/1999,37.36,59.84,31.20,41.17
02/03/1999,37.40,60.20,31.14,40.72
03/03/1999,37.57,60.69,31.10,41.03
04/03/1999,37.67,60.74,30.79,40.93
05/03/1999,37.56,60.43,30.50,40.63
08/03/1999,37.43,60.03,30.52,40.49
09/03/1999,37.08,59.77,30.60,40.40
10/03/1999,37.30,60.32,30.85,40.62
11/03/1999,37.49,60.98,31.33,41.09
12/03/1999,37.50,61.30,31.34,41.35
15/03/1999,37.28,60.72,31.32,40.64
16/03/1999,37.28,60.38,31.58,40.41
17/03/1999,37.19,60.56,31.41,40.85
18/03/1999,37.33,60.79,31.48,41.10
19/03/1999,37.49,61.07,31.94,41.17
22/03/1999,37.41,60.90,31.87,40.74
23/03/1999,37.50,61.03,31.61,40.88
24/03/1999,37.39,61.23,31.78,40.80
25/03/1999,37.51,61.35,31.83,40.86
26/03/1999,37.58,61.05,31.78,40.75
29/03/1999,37.60,61.01,31.32,40.46
30/03/1999,37.60,60.75,31.24,40.36
31/03/1999,37.62,60.62,31.23,40.29
01/04/1999,37.53,60.48,31.59,40.38
02/04/1999,37.60,60.30,31.21,40.55
05/04/1999,37.69,60.44,31.05,40.54
07/04/1999,37.76,60.10,31.25,40.88
08/04/1999,37.70,60.32,31.11,40.64
09/04/1999,37.86,60.83,31.26,40.67
12/04/1999,38.00,61.23,31.49,41.16
16/04/1999,37.37,60.04,31.51,39.84
19/04/1999,37.31,60.18,31.58,39.91
20/04/1999,37.30,60.12,31.60,39.72
21/04/1999,37.44,60.32,31.54,39.77
22/04/1999,37.54,60.29,31.25,39.86
23/04/1999,37.48,60.55,31.39,39.93
26/04/1999,37.56,60.66,31.61,39.79
27/04/1999,37.66,60.66,31.54,39.97
28/04/1999,37.43,60.54,31.36,39.93
29/04/1999,37.35,60.32,31.34,39.69
30/04/1999,37.19,59.92,31.17,39.51
04/05/1999,36.90,59.46,30.68,39.08
06/05/1999,36.87,60.15,30.60,39.59
07/05/1999,36.99,60.57,30.71,39.90
10/05/1999,36.86,60.04,30.50,39.52
11/05/1999,36.74,59.76,30.49,39.63
12/05/1999,36.66,59.47,30.33,39.31
13/05/1999,36.91,59.72,30.45,39.29
14/05/1999,37.03,59.93,30.38,39.50
17/05/1999,37.24,60.28,30.21,39.68
18/05/1999,37.09,60.03,30.08,39.64
19/05/1999,37.00,59.94,29.92,39.48
20/05/1999,37.06,59.94,29.81,39.54
21/05/1999,36.97,59.38,29.83,39.16
24/05/1999,37.01,59.22,29.87,39.10
25/05/1999,37.02,59.18,30.10,39.27
26/05/1999,37.11,59.46,30.39,39.36
27/05/1999,37.07,59.10,30.27,38.78
28/05/1999,37.06,59.15,30.71,38.64
01/06/1999,37.06,59.25,30.45,38.63
02/06/1999,37.02,59.64,30.71,38.68
03/06/1999,37.04,59.44,30.44,38.35
04/06/1999,37.03,59.38,30.47,38.14
07/06/1999,37.04,59.60,30.42,38.24
08/06/1999,36.97,59.15,30.50,38.03
09/06/1999,36.87,59.20,30.87,38.55
10/06/1999,36.93,59.08,31.08,38.62
11/06/1999,36.88,59.16,31.06,38.70
14/06/1999,36.88,59.41,30.73,38.68
15/06/1999,36.96,59.41,30.68,38.53
16/06/1999,36.91,58.82,30.61,38.48
17/06/1999,36.86,58.50,30.67,38.00
18/06/1999,36.91,58.82,30.61,38.48
21/06/1999,36.88,58.79,30.28,38.27
22/06/1999,36.77,58.58,30.17,38.07
23/06/1999,36.54,58.12,29.94,37.80
24/06/1999,36.65,57.84,30.04,37.80
25/06/1999,36.64,58.18,30.08,38.18
28/06/1999,36.68,58.13,30.21,38.21
29/06/1999,36.84,58.29,30.34,38.14
30/06/1999,36.84,58.01,30.44,38.06
02/07/1999,36.78,57.90,30.42,37.67
05/07/1999,36.84,58.06,30.15,37.69
06/07/1999,36.76,57.89,30.08,37.58
07/07/1999,36.79,57.43,30.10,37.62
08/07/1999,36.94,57.53,30.20,37.63
09/07/1999,37.08,57.82,30.23,37.87
12/07/1999,37.06,57.48,30.33,37.76
13/07/1999,37.15,57.81,30.42,37.68
14/07/1999,37.06,57.72,30.55,37.67
15/07/1999,37.06,57.96,30.73,37.86
16/07/1999,37.04,58.01,30.62,37.80
19/07/1999,37.16,57.92,30.81,37.63
20/07/1999,37.08,58.53,31.27,38.22
21/07/1999,37.12,58.31,31.17,38.68
22/07/1999,37.20,58.69,31.45,39.12
23/07/1999,37.37,59.16,31.87,39.22
26/07/1999,37.32,59.06,31.95,39.32
27/07/1999,37.23,59.22,31.92,39.72
29/07/1999,36.99,59.06,31.97,39.25
30/07/1999,37.09,59.87,32.12,39.71
02/08/1999,37.18,60.03,32.48,39.70
03/08/1999,37.27,60.23,32.49,39.82
04/08/1999,37.33,60.50,32.44,39.97
05/08/1999,37.33,60.48,32.66,40.22
06/08/1999,37.51,60.54,32.74,40.34
09/08/1999,37.67,60.61,32.69,40.39
10/08/1999,37.79,60.70,32.78,40.46
11/08/1999,37.79,60.96,32.91,40.43
13/08/1999,37.84,61.05,32.96,40.41
16/08/1999,37.85,60.80,32.85,40.05
17/08/1999,37.99,60.77,33.12,40.14
18/08/1999,38.31,61.47,33.62,40.29
19/08/1999,38.21,61.21,34.22,40.18
20/08/1999,38.35,62.03,34.34,40.80
23/08/1999,38.21,61.78,34.43,40.76
24/08/1999,38.30,61.26,34.08,39.96
25/08/1999,38.29,60.96,34.45,40.31
26/08/1999,38.23,60.65,34.43,39.85
27/08/1999,38.33,60.86,34.30,40.05
30/08/1999,38.23,60.73,34.43,40.04
31/08/1999,38.30,60.96,34.59,40.20
01/09/1999,38.46,61.83,35.16,40.69
02/09/1999,38.80,62.15,35.57,41.06
03/09/1999,38.68,62.19,35.25,41.37
06/09/1999,38.68,62.11,35.33,40.95
07/09/1999,38.73,62.08,35.28,40.91
08/09/1999,39.27,63.08,35.40,41.65
09/09/1999,39.57,64.17,36.29,42.00
10/09/1999,39.38,64.23,35.96,41.44
13/09/1999,39.30,63.71,36.22,40.73
14/09/1999,39.60,63.73,37.25,41.16
15/09/1999,39.46,63.37,37.41,40.81
16/09/1999,39.61,63.90,37.75,41.26
17/09/1999,40.02,64.93,37.87,41.57
20/09/1999,39.95,64.80,37.00,41.60
21/09/1999,40.19,65.18,37.58,41.69
22/09/1999,40.34,65.82,38.50,42.32
23/09/1999,40.70,66.20,39.07,42.44
24/09/1999,41.25,67.86,39.42,43.34
27/09/1999,40.71,66.82,38.73,42.52
28/09/1999,41.23,67.84,38.93,43.13
29/09/1999,41.42,68.22,38.94,43.67
30/09/1999,40.98,67.39,38.40,43.60
01/10/1999,40.77,67.17,38.51,43.57
04/10/1999,40.48,67.00,38.32,43.39
05/10/1999,40.13,66.41,37.79,43.08
06/10/1999,39.19,64.87,36.75,42.07
07/10/1999,39.35,65.11,36.37,42.13
08/10/1999,40.01,66.04,37.21,42.84
11/10/1999,40.17,66.32,37.54,42.68
12/10/1999,39.52,65.33,37.08,42.09
13/10/1999,39.59,65.63,37.27,42.69
14/10/1999,39.47,65.38,36.92,42.63
15/10/1999,39.19,65.20,36.71,42.42
18/10/1999,39.09,65.23,37.03,42.55
19/10/1999,39.45,65.74,37.40,42.71
20/10/1999,39.24,65.64,37.05,42.50
21/10/1999,39.15,65.22,36.86,42.18
22/10/1999,39.07,65.46,36.97,42.17
26/10/1999,38.91,64.72,37.00,41.59
27/10/1999,38.58,63.79,37.04,40.83
28/10/1999,38.83,63.96,37.30,40.85
29/10/1999,38.70,63.42,36.90,40.76
01/11/1999,38.54,63.36,37.03,40.64
02/11/1999,38.53,63.31,36.93,40.54
03/11/1999,38.68,63.72,37.17,40.72
04/11/1999,38.73,63.64,36.81,40.59
05/11/1999,38.41,62.35,36.60,39.88
08/11/1999,38.66,62.77,36.41,40.37
09/11/1999,38.74,62.72,36.79,40.19
10/11/1999,39.02,63.35,37.22,40.61
11/11/1999,38.99,63.47,37.09,40.70
12/11/1999,38.81,62.92,37.00,40.38
15/11/1999,38.57,62.28,36.79,39.82
16/11/1999,38.52,62.52,36.64,39.85
17/11/1999,38.81,62.76,36.68,40.05
18/11/1999,38.62,62.72,36.60,40.20
19/11/1999,38.71,62.57,36.48,39.91
22/11/1999,38.62,62.52,36.30,39.75
23/11/1999,38.75,62.78,37.04,39.97
24/11/1999,38.65,62.78,36.96,39.71
25/11/1999,38.73,62.40,37.07,39.47
26/11/1999,38.71,62.43,37.10,39.42
29/11/1999,38.92,62.49,37.60,39.49
30/11/1999,39.02,62.60,38.18,39.39
01/12/1999,38.83,62.05,38.00,39.18
02/12/1999,38.84,62.14,37.88,39.11
03/12/1999,38.94,62.29,37.96,38.91
07/12/1999,38.73,62.77,37.66,39.58
08/12/1999,38.55,62.67,37.60,39.55
09/12/1999,38.58,62.80,37.46,39.64
13/12/1999,38.57,62.55,37.66,39.10
14/12/1999,38.51,62.58,37.40,39.02
15/12/1999,38.54,62.15,37.26,38.75
16/12/1999,38.20,61.55,37.01,38.57
17/12/1999,37.93,61.15,36.79,38.61
20/12/1999,37.93,61.15,36.79,38.61
21/12/1999,37.91,61.08,36.97,38.38
22/12/1999,37.72,60.85,36.87,38.06
23/12/1999,37.46,60.26,36.90,37.80
24/12/1999,37.49,60.57,36.69,38.02
27/12/1999,37.61,60.82,36.58,38.11
28/12/1999,37.64,60.84,36.75,38.11
29/12/1999,37.48,60.58,36.64,37.77
30/12/1999,37.47,60.66,36.70,37.70
04/01/2000,36.96,60.43,36.25,37.89
05/01/2000,37.20,60.91,36.13,38.30
06/01/2000,37.17,61.11,35.61,38.38
07/01/2000,37.42,61.61,35.52,38.57
10/01/2000,37.02,60.67,35.26,38.07
11/01/2000,37.28,60.99,35.39,38.20
12/01/2000,37.59,61.94,35.46,38.82
13/01/2000,37.31,61.43,35.29,38.44
14/01/2000,37.45,61.65,35.28,38.42
17/01/2000,37.29,61.01,35.44,37.78
18/01/2000,37.42,61.13,35.64,37.81
19/01/2000,37.32,61.11,35.32,37.85
20/01/2000,37.26,61.27,35.40,37.71
21/01/2000,37.17,61.41,35.35,37.61
24/01/2000,37.24,61.39,35.52,37.41
25/01/2000,37.17,61.43,35.20,37.42
26/01/2000,37.24,61.23,35.19,37.15
27/01/2000,37.42,61.31,35.41,37.44
28/01/2000,37.33,61.11,35.56,36.87
31/01/2000,37.49,60.81,35.08,36.73
01/02/2000,37.48,60.48,34.92,36.38
02/02/2000,37.47,60.47,34.58,36.38
03/02/2000,37.52,60.32,34.73,36.60
04/02/2000,37.50,60.03,34.85,36.60
07/02/2000,37.45,59.63,34.84,36.76
08/02/2000,37.62,60.23,34.46,36.89
09/02/2000,37.53,60.39,34.40,37.08
10/02/2000,37.38,60.40,34.36,37.12
11/02/2000,37.43,60.24,34.28,36.90
14/02/2000,37.37,59.55,34.40,36.85
15/02/2000,37.45,59.50,34.42,36.66
16/02/2000,37.52,59.88,34.37,36.82
17/02/2000,37.59,60.39,34.31,37.07
18/02/2000,37.80,60.78,34.11,37.37
22/02/2000,38.17,61.22,34.21,37.87
23/02/2000,37.97,61.29,34.43,38.21
24/02/2000,38.08,61.06,34.22,38.19
25/02/2000,38.05,60.86,34.33,37.73
28/02/2000,37.71,60.04,34.50,36.33
29/02/2000,37.95,60.59,34.56,36.75
01/03/2000,37.95,59.92,34.74,36.68
