set	klse
243.62	327.98
235.24	316.24
235.68	315.66
243.37	343.47
243	351.04
238.92	324.06
233.15	317.2
230.22	324.17
227.5	324.49
226.85	313.51
218.85	302.91
211.09	262.7
207.59	294.59
207.4	313.07
207.31	363.44
220.56	445.06
212.85	349.56
213.98	389.65
218.91	380.2
212.7	368.53
211.34	393.24
211.08	389.08
218.7	394.04
220.05	386.55
221.85	393.3
221.88	378.32
223.14	385.45
231.28	376.26
250.18	387.46
248.93	387.27
255.35	377.52
253.82	373.52
254.47	367.64
251.56	363.06
246.26	360.1
248.14	374.45
263.23	370.9
285.22	372.99
292.5	372.22
290.8	389.5
290.19	385.04
285.12	384.22
295.19	393.25
319.22	396.26
331.36	422.97
323.05	424.37
321.57	421.56
319.02	419.11
319.23	415.96
330.45	410.49
345.07	406.35
331.29	405.33
334.93	419.78
343.16	421.91
354.11	431.7
362.08	438.66
376.6	453.29
363.85	465.69
336.62	467.54
356.26	476.12
333.06	460.77
333.59	465.08
345.19	462.02
344.08	464.12
345.13	458.34
358.56	458.58
371.93	461.56
390.43	477.17
383.66	489.66
391.01	502.15
382.2	498.69
373.09	498.08
362.82	501.47
356.16	518.75
343.12	526.75
337.86	521.76
337.63	527.26
350.27	510.85
359.54	522.18
360.3	533.88
344.89	541.01
349.18	543.79
344.53	542.99
338.65	542.78
341.92	550.41
337.17	550.84
343.34	537.22
344.27	551.11
346.93	552.32
360.29	556.14
351.81	566.23
355.81	574.56
356.68	561.65
378.51	567.89
402.56	586.48
397.72	585.89
399.43	591.7
399.2	598.46
399.81	593.33
385.58	594.04
386.96	593.34
381.82	598.97
385.75	614.52
376.48	618.54
363.36	610.19
366.77	610.88
373.25	605.18
366.16	595.45
363	591.43
347.21	579.55
338.2	568.84
338.27	577.32
337.96	558.8
330.77	526.1
320.36	548.14
314.74	546.15
313.65	562.95
347.43	570.79
336.47	566.29
336.57	565.29
334.52	562.61
333.71	562.79
336.17	553.13
332.67	549.24
340.94	542.23
338.82	526.03
341.51	513.23
337.14	516.59
336.21	516.82
336.68	519.86
329.59	530.53
333.28	528.12
345.21	523.27
345.79	528.79
360.88	518.45
354.95	511.9
356.8	511.85
362.91	515.34
367.69	513.91
366.09	507.55
365.74	503.48
360.35	494.57
365.7	499.14
366.91	500.16
359.76	498.57
352.01	502.82
356.85	527.56
357.1	540.07
350.73	535.84
359.52	556.57
365.09	556.58
371.95	568.1
370.68	571.41
402.54	599.41
412.19	615.42
406.11	621.53
397.93	616.7
402.33	636.43
401.07	646.92
415.68	673.9
425.33	670.02
423.22	661.63
432.49	668.72
459.35	674.96
505.75	698.28
512.69	717.58
488.35	691.68
490.43	705.83
495.23	723.39
486.56	723.98
476.89	733.53
474.9	766.82
467.62	762.86
481.55	780.29
483.5	775.73
479.6	779.62
479.33	769.79
469.98	743.34
451.05	758.1
458.21	753.82
464.28	760.34
453.6	749.03
461.79	759.37
474.86	749.46
476.05	744.5
476.47	739.8
483.25	731.01
493.67	755.09
510.5	757.5
511.44	767.69
507.06	772.76
514.67	782.98
508.62	779.93
509.84	791.91
520.55	787.79
518.81	786.63
538.36	786.02
545.91	793.43
540.99	794.83
543.97	801.72
543.85	806.23
531.88	820.71
517.65	829.72
521.77	811.1
533.33	845.62
533.15	847.06
526.82	846.28
516.11	839.52
496.65	847.36
509.58	851.67
511.87	851.49
500.25	842.01
494	851.21
496.7	844.86
488.51	843.12
481.7	831.77
487.95	830.75
496.86	836.65
487.22	829.77
475.73	808.34
457.68	776.18
461.91	796.2
458.82	774.52
456.81	768.69
452.61	734.94
456.07	748.34
451.43	719.52
447.09	705.98
437.04	703.09
433.45	668.21
430.85	683.65
421.49	688.5
423.78	772.88
418.11	766.41
411.31	751.47
409.76	760.8
418	758.44
440.51	763.38
448.19	772.29
446.55	775.18
468.7	768.43
456.07	761.75
457.54	764.79
446.48	767.06
434.56	752.91
426.7	735.52
431.12	745.32
424.08	752.78
426.75	752.74
421.56	755.06
431.08	751.15
430.91	739.17
444.94	737.44
443.82	729.05
438.59	717.74
429.89	711.25
438.16	713.68
434.21	710.03
425.54	739.3
410.15	721.17
400.46	707.09
382.01	694.22
382.14	679.52
385.23	679.14
391.07	683.51
389.49	675.45
407.23	680.07
396.13	682.86
398.94	710.23
395.09	714.19
397.64	734.73
393.02	743.84
388.88	747.39
401.36	745.57
391.5	737.28
392.79	738.05
385.4	721.18
372.87	715.29
368.58	738.28
369.01	736.36
367.23	738.44
377.16	739
379.54	736.19
379.61	738.27
389.76	750.2
395.55	742.87
391.55	731.48
402.41	727.03
403.31	730.62
419.89	727.58
418.47	721.35
426.42	715.54
426.39	728.81
429.28	724.84
432.02	721.52
426.7	729.29
423.15	720.34
410.04	719.73
410.9	723.06
411.55	733.29
406.41	740.74
405.42	740.12
399.23	740.82
404.6	738.6
412.31	745.91
421.26	745.91
422.12	734.66
423.07	732.87
419.67	732.82
414.42	724.63
413.88	730.26
413.27	729.68
419.77	737.13
435.4	768.74
438.23	769.94
437.86	767.98
437.71	767.89
439.32	778.26
450.68	787.74
444.93	791.2
458.43	787.91
461.18	782.05
461.29	783.1
466.45	785.82
466.96	797.69
479.42	804.74
481.92	812.33
498.46	832.8
465.85	815.8
443.46	818.43
452.48	846.74
459.62	869.62
458.4	890.6
474.37	928.24
477.09	953.42
484.16	949.62
486.33	933.38
486.64	950.86
478.92	953.96
477.22	954.5
473.22	952.06
469.22	940.95
474.91	939.59
477.45	935.57
477.57	922.1
470.62	942.85
465.78	957.66
465.94	979.05
456.02	991.85
453.1	997.59
456.12	999.81
447.56	998.29
430.97	995.52
422.83	998.77
405.81	1006.82
408.35	1013.27
379.43	1000.83
389	1009.21
395.1	1009.53
406.66	1002.62
388.39	983.77
374.32	982.24
371.56	969.96
391.39	941.82
383.13	948.31
379.27	940.49
380.35	929.44
385.56	930.72
393.23	922.59
402.4	948.09
400.37	932.05
386.2	920.49
399.74	934.78
400.99	928.71
398.26	939.5
395.15	949.11
399.03	971.19
404.16	970.27
408.24	988.37
412.44	981.57
410.69	985.13
399.59	971.48
400.32	974.38
399.74	965.41
392.7	960.63
395.33	955.06
403.45	949.85
403.32	939.55
400.74	933.57
414.45	940.6
392.88	874.97
385.25	880.9
391.22	896.3
389.48	895.27
395.06	898.98
395	887.88
396.48	892.92
394.56	899
393.36	904.25
390.4	898.35
385.44	900.31
379.8	904.55
